99
3501.8	210.31	6.1851	0.07513
-229.9261	319.6552	119.4471	-1.39165	-0.142382	0.091459	-0.0157274
1910.5	0	0
1911.5	0	0
1912.5	0	0
1913.5	0	0
1914.5	0	0
1915.5	0	0
1916.5	0	0
1917.5	0	0
1918.5	0	0
1919.5	0	0
1920.5	0	0
1921.5	0	0
1922.5	0	0
1923.5	0	0
1924.5	0	0
1925.5	0	0
1926.5	0	0
1927.5	0	0
1928.5	0	0
1929.5	0	0
1930.5	0	0
1931.5	0	0
1932.5	0	0
1933.5	0	0
1934.5	0	0
1935.5	0	0
1936.5	0	0
1937.5	0	0
1938.5	0	0
1939.5	0	0
1940.5	0	0
1941.5	0	0
1942.5	0	0
1943.5	0	0
1944.5	0	0
1945.5	0.1	0
1946.5	0.1	0.1
1947.5	0.1	0.1
1948.5	0.2	0.1
1949.5	0.4	0.3
1950.5	0.7	0.4
1951.5	1	0.7
1952.5	1.5	1
1953.5	2.2	1.5
1954.5	3	2.2
1955.5	4.1	3
1956.5	5.4	4
1957.5	6.8	5.2
1958.5	8.1	6.5
1959.5	9.4	7.8
1960.5	11.1	9.2
1961.5	13.3	10.9
1962.5	16.1	13.1
1963.5	19.6	15.8
1964.5	23.8	19.2
1965.5	28.4	23.1
1966.5	33.6	27.6
1967.5	39.5	32.7
1968.5	46.1	38.3
1969.5	53.7	44.8
1970.5	62.5	52.3
1971.5	72	60.7
1972.5	82.7	70
1973.5	94.9	80.4
1974.5	108.4	92.2
1975.5	121.4	104.7
1976.5	133.9	117.1
1977.5	145.9	129.3
1978.5	156.6	140.8
1979.5	168.3	148.8
1980.5	176.7	159.3
1981.5	184.3	167.8
1982.5	191.4	176.1
1983.5	199.4	184.5
1984.5	208.1	192.5
1985.5	218.1	202.2
1986.5	229.5	211.5
1987.5	241.7	222.4
1988.5	253	233.4
1989.5	259.5	242.3
1990.5	266	251.2
1991.5	268.4	256.8
1992.5	268.3	260.9
1993.5	269.7	262.6
1994.5	269.8	263.8
1995.5	268.5	263.2
1996.5	267.3	263.1
1997.5	265.9	262.1
1998.5	264.4	261.1
1999.5	262.9	259.9
2000.5	262	258.7
2001.5	260.3	256.9
2002.5	258.1	255.2
2003.5	256	253.4
2004.5	254.08	251.04
2005.5	251.97	248.72
2006.5	248.94	244.62
2007.5	246.85	241.78
2008.5	245.32	240.01
